pair,block_number,timestamp,suppressor_entity,suppressor_tx_count,suppressor_gas_median_gwei,block_gas_median_gwei,gas_premium,other_entities_in_block,others_gas_median_gwei
WETH_USDC,23174007,1755593087,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,3,148.12,0.3,496.33,2,0.27
WETH_USDC,23676153,1761657323,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,5,5.43,0.46,11.92,5,0.43
WETH_USDT,18000929,1693078103,0x7c63795c4b913dddc0c727498e5c16eceabcfde8,3,51.74,14.74,3.51,3,14.74
WETH_DAI,19256942,1708286771,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,336.44,33.43,10.06,2,33.42
WETH_DAI,20026643,1717602743,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,334.39,23.74,14.09,1,23.69
WETH_DAI,20026662,1717602971,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,357.26,23.58,15.15,1,22.13
WETH_DAI,23976916,1765303859,0x1f2f10d1c40777ae1da742455c65828ff36df387,3,3038.56,0.21,14539.24,2,0.21
WETH_WBTC,16863090,1679245067,0x4870525eae23fceb31df613d179ef6275e1b93a9,3,400.94,25.75,15.57,2,25.75
WETH_WBTC,18722531,1701808187,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,46333.26,94.63,489.62,2,82.3
WETH_WBTC,18910525,1704087047,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,3,4021.7,9.28,433.32,2,9.24
WETH_WBTC,19741490,1714158299,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,930.85,6.07,153.47,2,6.06
WETH_WBTC,19956886,1716760715,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,157.71,6.57,24.02,2,6.52
USDC_USDT,19031405,1705552583,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,203.78,25.28,8.06,2,25.28
USDC_USDT,19737384,1714108475,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,107.87,7.0,15.41,1,7.0
USDC_USDT,19888165,1715930399,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,141.27,7.54,18.73,1,7.54
USDC_USDT,20388814,1721973887,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,119.41,3.98,30.0,1,3.98
USDC_USDT,21089708,1730426891,0x1f2f10d1c40777ae1da742455c65828ff36df387,3,188.99,8.52,22.18,1,8.52
USDC_USDT,22139024,1743087815,0x1f2f10d1c40777ae1da742455c65828ff36df387,3,53.48,1.95,27.49,1,1.95
