sandwich_id,pair,block_number,timestamp,victim_tx,victim_sender,victim_to,victim_entity,tx_index,log_index,direction,amount0_in,amount1_in,amount0_out,amount1_out,gas_price
1,WETH_USDC,10498510,1595276813,0x0c53b4d11c2b8c1b9dfa590e72ff053429ac875bc95df1db866c980cce4d789e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8175362afbeee32afb22d05adc0bbd08de32f5ae,0x8175362afbeee32afb22d05adc0bbd08de32f5ae,152,126,0,10000000000.0,0.0,0.0,4.203256382082571e+19,62000000000.0
2,WETH_USDC,12273361,1618873553,0xf70d1ec835a74b95c4ee68e17e1406693249d9500182fba3af2657b4069aa23b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x1107b6081231d7f256269ad014bf92e041cb08df,0x1107b6081231d7f256269ad014bf92e041cb08df,194,209,0,10000000000.0,0.0,0.0,4.555978081715291e+18,220000000000.0
3,WETH_USDC,12573817,1622887121,0x4e5b8585c65be13f31f7901b3d9e4ec631a119bcbca0da5e55ee4c92486fc41c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc52e09d00c459e746854b350e5b3855cec38a09b,0xc52e09d00c459e746854b350e5b3855cec38a09b,1,8,1,0.0,3.5e+20,933534538229.0,0.0,20000001459.0
4,WETH_USDC,12723529,1624897197,0x68e408b8c865bec210f19a721b269bd0f928ce36ecc03b8e135dfe187ae74dac,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x904144473fde753dc0729608cfeea6f4a8b275e6,0x904144473fde753dc0729608cfeea6f4a8b275e6,1,9,1,0.0,5e+20,1041743553398.0,0.0,53000001561.0
5,WETH_USDC,12998450,1628611942,0x02c0b1901c22e16406508c94f1f1713e90798532aa080026d37dcb748fc5bf1b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf9124e7b6ced254fdd13a43f06920c01d47e3cae,0xf9124e7b6ced254fdd13a43f06920c01d47e3cae,1,13,1,0.0,2.596300412836087e+20,800000000000.0,0.0,232000000000.0
6,WETH_USDC,13198724,1631286395,0x0c38bffca1745707829742a0126a0002cb764254d65f6d154d2b6c90b23b0a98,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x3155acd9f75915fcc21d34035f440da7040bd3ba,0x3155acd9f75915fcc21d34035f440da7040bd3ba,1,11,1,0.0,4.5e+18,14586903549.0,0.0,122628171102.0
7,WETH_USDC,13223433,1631617102,0xa3804be37d2458dfb46ebc52e622a7d1a388a82b410e620254b36bcea3ccf5df,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xd75d1b30967d94b105f82f572ae7591cc3c48beb,0xd75d1b30967d94b105f82f572ae7591cc3c48beb,230,389,1,0.0,2.3e+17,764569347.0,0.0,36901766675.0
8,WETH_USDC,13599139,1636690396,0x8a660c56e1cf2b7c68fc7714feb3ba1a290dd8cb103e6c774c68d0eed57a9d6e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x40db5eb2c01fd8b2e25e10652812ebe2fcbcff2d,0x40db5eb2c01fd8b2e25e10652812ebe2fcbcff2d,1,11,1,0.0,1.1642481734610064e+20,545231955375.0,0.0,120080871963.0
9,WETH_USDC,13623552,1637023292,0xff040e1c6cf569c5b4f50458107f51bd238020a843036d467488adb8d748b8f1,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc4fa9fd2e51e41c2be2c3a77c53710b224e1b31d,0xc4fa9fd2e51e41c2be2c3a77c53710b224e1b31d,1,11,1,0.0,5e+18,22279833734.0,0.0,140692397527.0
10,WETH_USDC,13698659,1638051441,0xfbac89185d9c49ae94926fc02f8d452c4da8754a53c4f05ac5ad9144fd188228,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xb8b7c440c36e31686bf1e1bdca76a52e730190fc,0xb8b7c440c36e31686bf1e1bdca76a52e730190fc,5,42,1,0.0,3.1403934347419064e+18,12782805652.0,0.0,129961678681.0
11,WETH_USDC,13724034,1638402451,0x83c2559e04a91c1e3c5b4263837f2042f6461f66adde2505c7310df89014b3be,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xb8b7c440c36e31686bf1e1bdca76a52e730190fc,0xb8b7c440c36e31686bf1e1bdca76a52e730190fc,1,11,1,0.0,1.3e+19,59251818226.0,0.0,106983293029.0
12,WETH_USDC,13823726,1639759116,0x1c79a43f5aeae4308189ccf6550f3d9dea1f7e65faca56ea92a70df23aad9f79,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1,9,0,776354019393.0,0.0,0.0,1.957428843121734e+20,110252367282.0
13,WETH_USDC,13924341,1641103738,0x7a29cbb3a0962131bf43859d07e1b6eee392f135af8965a958b3ab66adabf113,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,1,14,1,0.0,2.5878061563549577e+19,96200130025.0,0.0,54277119764.0
14,WETH_USDC,13948379,1641424661,0x6775f38fc61b3c69bdf2e62b797e19f50e8119de6530f8aa2754f974214aa486,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,34,76,1,0.0,7.698905293119486e+18,27134519222.0,0.0,158661141571.0
15,WETH_USDC,13973529,1641760340,0xc74e85cff8bee739a0b9fa2833be523694072fc616d76da0168c739211a0a9c3,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,157,274,0,50000000000.0,0.0,0.0,1.556534140326952e+19,158601148201.0
16,WETH_USDC,14023429,1642427590,0x27d2e9278d50f1379480816a1ebea22851891f2aed7e6dffea9070d614b24cbc,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x96f007661544a7139bf0b9ae0339b3de560d86c7,0x96f007661544a7139bf0b9ae0339b3de560d86c7,181,291,1,0.0,2.984560307193481e+17,970127439.0,0.0,100318085654.0
